	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
1240.2688	0	30825	16.0442	25.0924	
1243.5456	0	30234.4	22.0514	25.1013	
1246.8224	0	30384.2	30.077	20.076	
1250.0992	0	30131.1	17.0336	18.0646	
1253.3760	0	30897.2	30.098	17.0617	
1256.6528	0	30651.7	31.0962	40.1809	
1259.9296	0	30365.2	27.0642	22.0983	
1263.2064	0	30109.6	20.0485	30.1223	
1266.4832	0	31051.8	21.0439	28.093	
1269.7600	0	30609.5	21.0483	24.0944	
1273.0368	0	30471.4	21.0535	16.0579	
1276.3136	0	29785	27.0761	21.0748	
1279.5904	0	30718.9	15.0348	26.1084	
1282.8672	0	30481.6	21.0532	25.1018	
1286.1440	0	30646.9	27.0685	27.1033	
1289.4208	0	29952.6	32.0956	21.072	
1292.6976	0	30462.9	43.1139	44.2178	
1295.9744	0	29887.7	77.3036	62.3211	
1299.2512	0	29853.7	101.53	84.5358	
1302.5280	0	29250.8	198.81	139.096	
1305.8048	0	29200.7	341.387	197.224	
1309.0816	0	28646	545.456	321.895	
1312.3584	1.00003	27692.9	866.394	544.733	
1315.6352	1.00021	25683.3	1418.3	924.844	
1318.9120	0	23449	2493.67	1570.53	
1322.1888	2.00049	18491.8	4076.02	2607.27	
1325.4656	2.00049	13954.3	6706.3	4149.52	
1328.7424	9.00577	8909.89	9679.25	5642.38	
1332.0192	2.00061	5341.88	12358.2	6740.85	
1335.2960	7.00235	3232.51	13740.4	7444.96	
1338.5728	6.00293	2205.46	14884	7722.68	
1341.8496	3.00064	1721.85	16123.8	8033.73	
1345.1264	8.0044	1499.8	15576	8114.56	
1348.4032	8.0044	1419.75	15662.5	8210.72	
1351.6800	4.00293	1385.94	15659.4	8074.4	
1354.9568	8.00537	1448.36	15886.3	8269.03	
1358.2336	9.00412	1337.31	15986.2	8123.05	
1361.5104	4.00195	1311.06	16024.9	8242.87	
1364.7872	15.0142	1222.93	15849.7	8150.66	
1368.0640	10.0086	1249.58	15978.2	8157.9	
1371.3408	8.00586	1288.28	15863.7	8063.95	
1374.6176	10.0055	1342.86	15824.6	8041.5	
1377.8944	11.0057	1364.34	15983.5	7985.88	
1381.1712	6.00403	1293.69	15888.1	8032.89	
1384.4480	4.00171	1257.53	15635.2	8033.29	
1387.7248	8.00537	1299.93	15903	7888.89	
1391.0016	11.0097	1262.77	15934.9	8312.19	
1394.2784	6.00476	1280.37	16043	8214.75	
1397.5552	5.0029	1305.26	15896	8411.27	
1400.8320	8.00482	1361.67	15995.8	8309.49	
1404.1088	8.0044	1323.55	16003.2	8186.54	
1407.3856	8.00831	1326.88	16036.4	8323.89	
1410.6624	4.00195	1293.8	15452.4	8083.99	
1413.9392	9.00907	1237.54	15653.4	8148.37	
1417.2160	7.00321	1266.78	15671	8330.88	
1420.4928	13.0075	1289.43	15834	8206.8	
1423.7696	5.00351	1256.08	15762.5	8168.47	
1427.0464	6.0022	1269.63	15840	8222.27	
1430.3232	6.00293	1313.83	16222.8	8084.71	
1433.6000	3.00156	1268.47	15776.2	8152.97	
1436.8768	8.00733	1228.12	15890.2	8060.36	
1440.1536	10.0092	1241.03	15848.1	8207.35	
1443.4304	14.0103	1264.77	16034.7	8469.56	
1446.7072	8.00391	1277.96	15751	8027.05	
1449.9840	10.0067	1288.44	15738.1	8063.29	
1453.2608	9.00577	1302.85	15833.3	8299.07	
1456.5376	6.0033	1293.77	16143.3	8416.63	
1459.8144	11.0077	1303.73	15885.8	8150.64	
1463.0912	10.0049	1328.25	15667.9	8070.34	
1466.3680	6.0044	1268.68	15800.2	8201.29	
1469.6448	8.00586	1242.63	16132.1	8408.72	
1472.9216	10.0067	1239.41	15921.8	8133.35	
1476.1984	7.00406	1247.54	15669.1	8144.2	
1479.4752	5.00229	1347.59	15741.9	8319.42	
1482.7520	3.00174	1274.38	16286.8	8084.97	
1486.0288	8.00586	1204.16	15636.7	8159.1	
1489.3056	8.0044	1279.76	16426.8	8465.73	
1492.5824	11.0104	1245.29	16510.9	8632.78	
1495.8592	8.0044	1273.85	16638.9	8462.58	
1499.1360	8.00342	1200.75	16678.9	8363.34	
1502.4128	7.00192	1278.15	16304.3	8428.28	
1505.6896	5.00351	1284.4	16550.5	8356.12	
1508.9664	10.0079	1311.85	16581	8652.55	
1512.2432	12.0088	1249.67	16154.5	8304.39	
1515.5200	17.0182	1208.63	16438.2	8652.71	
1518.7968	12.0081	1223.47	16341.9	8259.55	
1522.0736	6.00403	1216.18	16340.6	8342.64	
1525.3504	12.0117	1311.53	16262.5	8416.76	
1528.6272	6.00256	1245.58	16153.6	8460.63	
1531.9040	6.00366	1258.92	16425	8376.09	
1535.1808	7.00577	1295.93	16045.2	8429.72	
1538.4576	14.0171	1153.44	16458.5	8467.27	
1541.7344	10.0065	1313.51	16305.4	8578.43	
1545.0112	7.00449	1287.48	16553.5	8579.49	
1548.2880	10.0075	1324.32	16328.9	8568.5	
